Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
A1,1,-10130.2334,35315.76563
A2,1,,
A3,1,-10829.11133,41167.09375
A4,1,,
A5,1,-9890.513672,35445.55859
A6,1,,
A7,1,-10261.74121,36759.26953
A8,1,,
A9,1,-9814.40918,41444.22266
A10,1,,
A11,1,,
A12,1,,
B1,1,-11352.63379,31895.51172
B2,1,,
B3,1,-14850,37519.47266
B4,1,,
B5,1,-13018.94336,32276.50977
B6,1,,
B7,1,-14988.1377,30365.94922
B8,1,,
B9,1,-11474.43359,33629.94531
B10,1,,
B11,1,,
B12,1,,
C1,1,-14379.87402,41025.67969
C2,1,,
C3,1,-16020.45313,36252.63672
C4,1,,
C5,1,-17825.14063,29815.17383
C6,1,,
C7,1,-15169.04688,20517.05273
C8,1,,
C9,1,-13006.68555,33786.25781
C10,1,,
C11,1,,
C12,1,,
D1,1,-15302.7168,35031.67188
D2,1,,
D3,1,-16551.87109,31466.29102
D4,1,,
D5,1,-15996.51953,28733.22461
D6,1,,
D7,1,-14246.82227,22789.57227
D8,1,,
D9,1,-14304.50098,34912.19922
D10,1,,
D11,1,,
D12,1,,
E1,1,-15306.71777,36646.46875
E2,1,,
E3,1,-14879.87012,33528.26563
E4,1,,
E5,1,-14295.51563,35089.13281
E6,1,,
E7,1,-14346.06836,35169.88672
E8,1,,
E9,1,-14179.23047,27892.28906
E10,1,,
E11,1,,
E12,1,,
F1,1,-15711.55566,38550.75781
F2,1,,
F3,1,-14754.60449,34539.5
F4,1,,
F5,1,-12379.15527,34827.72656
F6,1,,
F7,1,-14989.0498,35591
F8,1,,
F9,1,-13961.94531,36637.47656
F10,1,,
F11,1,,
F12,1,,
G1,1,-13843.05859,37392.26563
G2,1,,
G3,1,-14253.21875,35404.41016
G4,1,,
G5,1,-14380.73438,36183.52344
G6,1,,
G7,1,-14747.64648,32676.71484
G8,1,,
G9,1,-13016.90723,44283.30859
G10,1,,
G11,1,,
G12,1,,
H1,1,-15649,33334.41797
H2,1,,
H3,1,-15856.89258,36796.03906
H4,1,,
H5,1,-13199.87109,35649.55469
H6,1,,
H7,1,-15336.50195,35730.16797
H8,1,,
H9,1,-11178.72168,-2114.630859
H10,1,,
H11,1,,
H12,1,,
A1,2,27309.26172,31398.47656
A2,2,,
A3,2,44130.62891,37065.35938
A4,2,,
A5,2,39913.82422,31250.09961
A6,2,,
A7,2,44695.44531,33495.25781
A8,2,,
A9,2,44313.31641,37189.07031
A10,2,,
A11,2,,
A12,2,,
B1,2,-2984.025391,29161.79492
B2,2,,
B3,2,-4250.351074,36524.71094
B4,2,,
B5,2,-1523.336548,32072.75586
B6,2,,
B7,2,-3096.989258,30973.1543
B8,2,,
B9,2,-68.38137817,33415.85938
B10,2,,
B11,2,,
B12,2,,
C1,2,-9126.893555,37830.26563
C2,2,,
C3,2,-10794.99219,36333.45703
C4,2,,
C5,2,-11627.46094,30941.53125
C6,2,,
C7,2,-7827.039551,35029.56641
C8,2,,
C9,2,-6933.938477,33797.99219
C10,2,,
C11,2,,
C12,2,,
D1,2,-11138.63574,32353.04688
D2,2,,
D3,2,-10839.19043,32765.75977
D4,2,,
D5,2,-10309.64941,30380.8125
D6,2,,
D7,2,-7860.677246,34218.63281
D8,2,,
D9,2,-6717.01709,40333.71875
D10,2,,
D11,2,,
D12,2,,
E1,2,-11130.75684,33518.45313
E2,2,,
E3,2,-8688.827148,36393.29297
E4,2,,
E5,2,-7841.645996,36211.96094
E6,2,,
E7,2,-8218.466797,35278.44531
E8,2,,
E9,2,-6957.769531,36033.97266
E10,2,,
E11,2,,
E12,2,,
F1,2,-11268.4209,35616.58594
F2,2,,
F3,2,-10531.16895,33953.25
F4,2,,
F5,2,-4814.892578,35230.26172
F6,2,,
F7,2,-8694.436523,35950.19531
F8,2,,
F9,2,-8818.392578,36224.76953
F10,2,,
F11,2,,
F12,2,,
G1,2,-9885.02832,33482.82031
G2,2,,
G3,2,-9288.418945,34409.01563
G4,2,,
G5,2,-8518.457031,36644.11719
G6,2,,
G7,2,-9232.305664,32931.26172
G8,2,,
G9,2,-6079.322266,44101.99609
G10,2,,
G11,2,,
G12,2,,
H1,2,-12226.26758,30219.54297
H2,2,,
H3,2,-10256.20313,33525.96875
H4,2,,
H5,2,-10013.11816,32386.05469
H6,2,,
H7,2,-9467.753906,33510.69531
H8,2,,
H9,2,-10558.26367,-2029.723267
H10,2,,
H11,2,,
H12,2,,
A1,3,43765.25781,31593.86328
A2,3,,
A3,3,73840.57031,38181.92578
A4,3,,
A5,3,59015.36328,32573.05469
A6,3,,
A7,3,64252.76953,34706.83594
A8,3,,
A9,3,67585.19531,38249.17578
A10,3,,
A11,3,,
A12,3,,
B1,3,1207.641846,29894.08008
B2,3,,
B3,3,1812.754272,38536.88281
B4,3,,
B5,3,1274.709473,33081.55078
B6,3,,
B7,3,-1204.5354,31274.45508
B8,3,,
B9,3,3254.775146,34702.66016
B10,3,,
B11,3,,
B12,3,,
C1,3,-5815.15918,39336.34375
C2,3,,
C3,3,-7682.26123,37954.6875
C4,3,,
C5,3,-10443.78418,31863.78711
C6,3,,
C7,3,-7109.51709,36180.60938
C8,3,,
C9,3,-5218.875977,34823.26953
C10,3,,
C11,3,,
C12,3,,
D1,3,-8435.238281,33168.88281
D2,3,,
D3,3,-9444.668945,33871.23828
D4,3,,
D5,3,-9312.419922,31594.25781
D6,3,,
D7,3,-7147.033691,35449.95313
D8,3,,
D9,3,-5741.09082,41428.82813
D10,3,,
D11,3,,
D12,3,,
E1,3,-8340.552734,34518.40234
E2,3,,
E3,3,-7117.11377,37712.89453
E4,3,,
E5,3,-6628.375977,37670.12891
E6,3,,
E7,3,-7210.396973,36581.44531
E8,3,,
E9,3,-6157.242676,37095.14453
E10,3,,
E11,3,,
E12,3,,
F1,3,-8185.498047,36962.52344
F2,3,,
F3,3,-7835.041992,35821.63281
F4,3,,
F5,3,-2791.852783,36720.23047
F6,3,,
F7,3,-7694.009766,37197.44141
F8,3,,
F9,3,-6638.675293,37419.99609
F10,3,,
F11,3,,
F12,3,,
G1,3,-6887.375,34587.23047
G2,3,,
G3,3,-6468.818359,36260.27344
G4,3,,
G5,3,-6924.355469,37655.61328
G6,3,,
G7,3,-7926.542969,34219.07422
G8,3,,
G9,3,-3540.671875,46344.03125
G10,3,,
G11,3,,
G12,3,,
H1,3,-9561.012695,31297.60742
H2,3,,
H3,3,-7221.255859,35770.63281
H4,3,,
H5,3,-8758.84375,34198.87109
H6,3,,
H7,3,-8298.822266,35256.58594
H8,3,,
H9,3,-10551.90527,-2021.81543
H10,3,,
H11,3,,
H12,3,,
A1,4,-8667.421875,30666.23633
A2,4,,
A3,4,-8719.895508,37315.94531
A4,4,,
A5,4,-9262.398438,31951.27148
A6,4,,
A7,4,-9299.087891,33979.19141
A8,4,,
A9,4,-8471.949219,38145.46875
A10,4,,
A11,4,,
A12,4,,
B1,4,-10881.61523,28084.56055
B2,4,,
B3,4,-14583.47168,38172.71875
B4,4,,
B5,4,-12797.48828,31804.32422
B6,4,,
B7,4,-14736.85938,30251.90234
B8,4,,
B9,4,-11359.38184,34053.4375
B10,4,,
B11,4,,
B12,4,,
C1,4,-14033.16895,37567.86328
C2,4,,
C3,4,-15922.23047,36634.23828
C4,4,,
C5,4,-17752.89063,31611.40625
C6,4,,
C7,4,-15062.30078,22952.37305
C8,4,,
C9,4,-12767.80469,33868.94531
C10,4,,
C11,4,,
C12,4,,
D1,4,-14840.6084,31209.59961
D2,4,,
D3,4,-16291.83594,32315.09961
D4,4,,
D5,4,-15740.70313,29678.18555
D6,4,,
D7,4,-14147.12891,24072.94531
D8,4,,
D9,4,-13950.45703,36079.06641
D10,4,,
D11,4,,
D12,4,,
E1,4,-14845.49609,32722.68945
E2,4,,
E3,4,-14703.79004,34753.83594
E4,4,,
E5,4,-14004.9834,35557.39844
E6,4,,
E7,4,-14330.33789,35848.57031
E8,4,,
E9,4,-13714.81445,30463.92383
E10,4,,
E11,4,,
E12,4,,
F1,4,-15169.09473,34867.0625
F2,4,,
F3,4,-14347.49609,35765.85938
F4,4,,
F5,4,-11807.65234,34425.67188
F6,4,,
F7,4,-14908.98047,35958.10547
F8,4,,
F9,4,-13883.41016,37503.19531
